"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"30",7.95102079055475e-38,1.996847501802,0.324,0.079,2.07147944656323e-33,"1","GNLY"
"31",1.95202886876657e-37,0.90865996187641,0.793,0.418,5.08562081179754e-33,"1","CTSW"
"32",1.30899717017444e-34,1.1769265192031,0.222,0.039,3.41033032745547e-30,"1","LINC02446"
"33",3.69992571588098e-32,1.08197251104522,0.407,0.137,9.63941646758472e-28,"1","LAG3"
"34",4.71178788260662e-28,0.838112666322766,0.491,0.195,1.2275620970555e-23,"1","KLRK1"
"35",4.85305559872251e-25,1.03684592898252,0.735,0.459,1.26436657513518e-20,"1","CD7"
"36",1.94699423999098e-23,1.0057720986006,0.556,0.308,5.07250409344849e-19,"1","LITAF"
"37",2.29055808268817e-23,1.05171626943572,0.538,0.286,5.96759097282749e-19,"1","METRNL"
"38",1.12010586237046e-19,0.948741838397537,0.105,0.015,2.91821180323377e-15,"1","CXCL13"
"39",3.45329010522721e-18,0.821442868374317,0.527,0.263,8.99685671114846e-14,"1","GZMK"
"40",2.0779494295205e-14,0.907989118133251,0.458,0.256,5.41368164872976e-10,"1","HLA-DRA"
"41",2.00452703228412e-67,1.50068038821477,0.478,0.104,5.22239427720981e-63,"2","CD40LG"
"42",1.48044738925637e-18,0.825051485689875,0.84,0.716,3.85700958322963e-14,"2","TXNIP"
"43",5.69678423845781e-17,1.40655735080682,0.754,0.599,1.48418319764541e-12,"2","FOS"
"44",1.34986511648714e-11,1.4073167445241,0.425,0.278,3.51680358798396e-07,"2","HSPA1B"
"45",3.06236621536076e-11,0.638691854785319,0.216,0.092,7.97838270087939e-07,"2","C1orf162"
"46",8.49260819508378e-11,0.699771734171605,0.772,0.634,2.21257921306518e-06,"2","CD69"
"47",6.05244589113006e-10,0.663575171585128,0.854,0.796,1.57684372801611e-05,"2","KLF6"
"48",1.35288204093649e-09,0.653382712668636,0.534,0.385,3.52466358125184e-05,"2","ARHGAP15"
"49",5.82426869341936e-09,0.52244789252338,0.187,0.081,0.000151739672269655,"2","PTPN13"
"50",7.27959025611364e-09,0.601142862657354,0.306,0.17,0.000189655164942529,"2","MAL"
"51",4.6933095895244e-08,0.550942498533223,0.205,0.101,0.00122274794735879,"2","CLU"
"52",1.30361577597175e-07,0.495628200563419,0.425,0.289,0.00339631018113919,"2","FLT3LG"
"53",2.16559656865485e-07,0.517511778889855,0.157,0.07,0.00564202874031648,"2","SLC9A9"
"54",3.6153445119448e-07,1.55028045832459,0.407,0.297,0.00941905705696978,"2","HSPA1A"
"55",7.23654032613601e-07,0.51311770391953,0.272,0.162,0.0188533585116821,"2","CD4"
"56",5.39242722490961e-06,0.553488818123055,0.213,0.122,0.14048890649057,"2","LPAR6"
"57",2.73426686523765e-05,0.657575451290006,0.787,0.774,0.712358546400366,"2","DUSP1"
"58",0.00027574682108113,0.623365762588133,0.131,0.072,1,"2","CISH"
"59",0.000381556317751036,1.14650427611748,0.276,0.205,1,"2","TNF"
"60",0.000446363851480986,0.672469880458896,0.56,0.492,1,"2","JUN"
"61",1.62703587476582e-68,1.73667776190938,0.609,0.162,4.23891656452739e-64,"3","CCR7"
"62",3.12696648221437e-43,1.02491383437295,0.368,0.083,8.14668577611309e-39,"3","SESN3"
"63",1.74221081155909e-42,0.861995634512964,0.34,0.071,4.53898182735489e-38,"3","S1PR1"
"64",8.10078231273743e-36,1.15725474103002,0.407,0.121,2.11049681593748e-31,"3","SELL"
"65",2.65062600571817e-35,1.0027680347423,0.992,0.962,6.90567593269756e-31,"3","FTH1"
"66",6.67631326440901e-33,1.03428902653826,0.917,0.68,1.73937989477648e-28,"3","EZR"
"67",8.5227573885465e-33,0.720284664814992,0.348,0.09,2.22043398243802e-28,"3","LEF1"
"68",6.58146158376559e-32,0.866874361944275,0.47,0.16,1.71466818641845e-27,"3","KLF3"
"69",1.524702828992e-30,1.04679734927596,0.771,0.423,3.97230828037286e-26,"3","KLF2"
"70",2.62448177574877e-30,1.0054308127459,0.7,0.385,6.83756237035828e-26,"3","CD55"
"71",2.12056917547433e-29,0.730066925346925,0.984,0.875,5.52471887286326e-25,"3","SARAF"
"72",3.44461730404684e-27,0.775750176461198,0.96,0.835,8.97426146223323e-23,"3","PABPC1"
"73",5.51409648660358e-26,0.732524201010322,0.957,0.677,1.43658755765483e-21,"3","IL7R"
"74",3.19863412146569e-24,0.769427273504857,0.241,0.061,8.33340147665456e-20,"3","PASK"
"75",8.96734803121819e-23,0.787699291906429,0.356,0.127,2.33626318257327e-18,"3","ICAM2"
"76",3.08312344195092e-21,0.72487966686828,0.767,0.512,8.03246150331472e-17,"3","LDHB"
"77",1.2108019906512e-20,0.790365038118264,0.834,0.577,3.15450242624358e-16,"3","SLC2A3"
"78",6.38785080095175e-19,0.796376086904396,0.672,0.412,1.66422676917196e-14,"3","CRYBG1"
"79",2.08291365956516e-15,0.810549328763785,0.818,0.626,5.4266149572651e-11,"3","ANXA1"
"80",2.84968526046891e-12,0.918628870689187,0.526,0.336,7.42428500909966e-08,"3","ATP1B3"
"81",3.29881090284347e-117,1.87229378291252,0.539,0.062,8.59439204517809e-113,"4","FOXP3"
"82",1.29760625115868e-71,1.69962081373751,0.675,0.183,3.38065356614372e-67,"4","CTLA4"
"83",1.76567445564548e-31,1.22520903737068,0.506,0.198,4.60011165929317e-27,"4","TIGIT"
"84",1.78012547457387e-31,1.20517765781596,0.416,0.141,4.6377608989073e-27,"4","IL2RA"
"85",2.42860945217407e-29,0.989595627576825,0.947,0.881,6.32725620574911e-25,"4","IL32"
"86",4.56778773845413e-28,1.09127907299308,0.387,0.129,1.19004573949945e-23,"4","TNFRSF4"
"87",8.69126103026491e-27,1.04615058198565,0.663,0.358,2.26433423621492e-22,"4","BATF"
"88",1.36883180867078e-23,1.26583144830871,0.461,0.213,3.56621751112998e-19,"4","CARD16"
"89",8.29596219670754e-22,0.888480794923758,0.469,0.213,2.16134703110822e-17,"4","TNFRSF18"
"90",7.73110343811377e-21,1.04927572451294,0.391,0.166,2.01418437873178e-16,"4","MIR4435-2HG"
"91",2.78754548592963e-20,0.998426162571696,0.255,0.078,7.26239225449247e-16,"4","GK"
"92",1.58169556272624e-19,0.86125661580889,0.486,0.235,4.12079144957068e-15,"4","CD27"
"93",5.03300265158511e-19,0.961045495287933,0.288,0.101,1.31124818081747e-14,"4","TTN"
"94",4.42973910065499e-17,0.905014732699286,0.329,0.136,1.15407992789364e-12,"4","IKZF2"
"95",9.36733822969057e-17,0.862951679116063,0.251,0.087,2.44047262898129e-12,"4","TBC1D4"
"96",5.5853500772816e-15,0.985489926390898,0.366,0.172,1.45515125563417e-10,"4","PMAIP1"
"97",3.28744591670976e-14,0.930422727761325,0.42,0.227,8.56478284680393e-10,"4","ICOS"
"98",7.37178555031969e-14,0.807707706061074,0.387,0.2,1.92057128942479e-09,"4","STAM"
"99",9.79242130266511e-11,0.835551943864776,0.444,0.295,2.55121952198334e-06,"4","UGP2"
"100",0.00014107563531565,0.922108834313702,0.23,0.153,1,"4","HPGD"
"101",1.75773685180956e-79,2.3983746212564,0.399,0.048,4.57943182001944e-75,"5","CCL20"
"102",3.86484705156512e-63,1.27720725982884,0.702,0.194,1.00690860234426e-58,"5","CXCR6"
