"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"270",9.92091257027274e-262,2.16278820694092,0.768,0.263,2.58102461428216e-257,"13","RCAN1"
"271",1.30750634905673e-254,2.92438604829949,0.481,0.099,3.40160851770598e-250,"13","GDF15"
"272",5.46067431901021e-221,1.76161008394537,0.937,0.814,1.4206490308337e-216,"13","GSTP1"
"273",5.80144373195217e-216,1.77325047937103,0.633,0.202,1.50930360130468e-211,"13","MFSD12"
"274",3.29013225386863e-210,2.03635338585836,0.761,0.381,8.55960807166462e-206,"13","FBXO7"
"275",1.45702097234321e-179,2.07091257462611,0.55,0.188,3.79058576164808e-175,"13","HMGA1"
"276",1.9530191641912e-154,1.89480262301289,0.752,0.507,5.08097465755983e-150,"13","YWHAH"
"277",3.44385997894633e-154,1.79701920099844,0.814,0.581,8.95954612122676e-150,"13","S100A13"
"278",2.889240175087e-127,1.76556979806799,0.681,0.436,7.51664723950633e-123,"13","UBE2L3"
"279",3.2390015735144e-124,2.06904698379152,0.599,0.293,8.42658649365507e-120,"13","SDF2L1"
"280",2.17913158332361e-58,2.1359649167656,0.775,0.802,5.66922872717469e-54,"13","NEAT1"
"281",0,3.591906891843,1,0.43,0,"14","COL1A1"
"282",0,3.41000563421667,0.654,0.091,0,"14","POSTN"
"283",0,2.98788224459257,1,0.501,0,"14","COL6A1"
"284",0,2.98203304899676,0.895,0.203,0,"14","SFRP2"
"285",0,2.94394685120572,1,0.449,0,"14","COL1A2"
"286",0,2.92595748498481,1,0.441,0,"14","COL3A1"
"287",0,2.76247321806577,0.791,0.167,0,"14","TNC"
"288",0,2.67711250338379,0.867,0.267,0,"14","COL12A1"
"289",0,2.64026269637572,0.989,0.337,0,"14","COL6A3"
"290",0,2.54244755701008,0.718,0.126,0,"14","COMP"
"291",0,2.44876636430236,0.744,0.062,0,"14","DIO2"
"292",0,2.37836564095099,0.965,0.349,0,"14","BGN"
"293",0,2.35548359913437,1,0.48,0,"14","COL6A2"
"294",0,2.27743366506295,0.928,0.238,0,"14","COL5A1"
"295",0,2.25088384749278,0.976,0.382,0,"14","MMP2"
"296",0,2.23858619364978,0.875,0.293,0,"14","RARRES2"
"297",0,2.22266177859291,0.934,0.281,0,"14","COL5A2"
"298",0,2.20624596799284,0.396,0.039,0,"14","MMP11"
"299",1.07004853336516e-285,3.11335093664748,0.812,0.284,2.78383826440281e-281,"14","PTGDS"
"300",3.0824664939263e-268,2.72420964619788,0.616,0.159,8.01934483059867e-264,"14","APCDD1"
"301",0,6.15876269154603,0.635,0.025,0,"15","KRT1"
"302",0,6.1181433104638,0.351,0.012,0,"15","S100A7"
"303",0,5.97245441353737,0.731,0.045,0,"15","KRT16"
"304",0,5.89298507771888,0.923,0.095,0,"15","KRT14"
"305",0,5.55072218379828,0.885,0.05,0,"15","KRT5"
"306",0,5.46616862879887,0.932,0.025,0,"15","LGALS7"
"307",0,5.32473698253239,0.798,0.052,0,"15","KRT6A"
"308",0,5.05155042587949,0.546,0.045,0,"15","KRT17"
"309",0,4.97978200955894,0.538,0.057,0,"15","S100A9"
"310",0,4.95337397733534,0.482,0.015,0,"15","KRT6C"
"311",0,4.90080755849061,0.607,0.05,0,"15","S100A8"
"312",0,4.80653718869207,0.789,0.063,0,"15","S100A2"
"313",0,4.79792745479568,0.916,0.03,0,"15","SFN"
"314",0,4.62041943089963,0.567,0.011,0,"15","KRTDAP"
"315",0,4.41367554139998,0.686,0.01,0,"15","CALML3"
"316",0,4.34247971278219,0.764,0.06,0,"15","DMKN"
"317",0,4.33802398082255,0.714,0.042,0,"15","CSTA"
"318",0,4.29547678030671,0.614,0.038,0,"15","KRT6B"
"319",1.51431190474625e-165,4.443759693965,0.757,0.363,3.93963385138784e-161,"15","FABP5"
"320",1.12375623006968e-118,4.66947181372415,0.82,0.564,2.92356420814927e-114,"15","KRT10"
"321",0,4.604472933215,0.921,0.036,0,"16","KRT7"
"322",0,4.5810987443983,0.498,0.021,0,"16","SAA1"
"323",0,4.57526029636317,0.739,0.018,0,"16","AQP5"
"324",0,4.12027708470418,0.407,0.011,0,"16","SAA2"
"325",0,3.95140308987971,0.75,0.01,0,"16","SNORC"
"326",0,3.94859768627559,0.887,0.232,0,"16","AKR1C1"
"327",0,3.94453040492991,0.805,0.016,0,"16","KRT15"
"328",0,3.87844204130909,0.791,0.035,0,"16","KRT19"
"329",0,3.61517629416132,0.811,0.079,0,"16","KRT18"
"330",0,3.59885974130119,0.302,0.017,0,"16","LTF"
"331",0,3.54572841396065,0.721,0.013,0,"16","PPP1R1B"
"332",0,3.52926350681265,0.998,0.952,0,"16","GAPDH"
"333",0,3.38460610516241,0.718,0.069,0,"16","KRT8"
"334",0,3.08981353799996,0.688,0.09,0,"16","TPD52L1"
"335",0,3.04675458908276,0.654,0.097,0,"16","TESC"
"336",0,2.92803546242945,0.53,0.004,0,"16","CA6"
"337",3.62074420058801e-304,3.56203735803527,0.946,0.631,9.41972811224976e-300,"16","DBI"
"338",1.43570532138495e-302,2.94556753469857,0.966,0.77,3.73513096411508e-298,"16","LDHA"
"339",3.26466077209191e-275,3.04700010631994,0.859,0.401,8.49334146467433e-271,"16","CHCHD10"
"340",1.44262434182158e-253,2.96210502940845,0.67,0.2,3.75313148768303e-249,"16","QDPR"
"341",0,4.68480232247286,0.995,0.31,0,"17","HLA-DPB1"
"342",0,4.60186227814939,0.993,0.296,0,"17","HLA-DRA"
"343",0,4.44519824164833,0.987,0.161,0,"17","HLA-DQA1"
"344",0,4.37667711736535,0.991,0.275,0,"17","HLA-DPA1"
"345",0,4.23215345550976,0.953,0.153,0,"17","HLA-DQB1"
"346",0,4.08655441926274,0.977,0.318,0,"17","HLA-DRB1"
"347",0,3.87985062699279,0.998,0.498,0,"17","CD74"
"348",0,3.60836902523992,0.801,0.042,0,"17","LYZ"
"349",0,3.60273417091233,0.925,0.203,0,"17","HLA-DRB5"
"350",0,3.14768614894971,0.62,0.008,0,"17","FCER1A"
"351",0,3.11636474939464,0.522,0.042,0,"17","IL1B"
"352",0,3.06609936846623,0.805,0.109,0,"17","CD83"
"353",0,3.06260932033565,0.783,0.089,0,"17","GPR183"
"354",0,3.05945632687036,0.527,0.065,0,"17","AREG"
"355",0,3.04522762336734,0.837,0.135,0,"17","IFI30"
"356",0,2.7564280069056,0.898,0.199,0,"17","HLA-DMA"
"357",0,2.73049052487957,0.71,0.171,0,"17","CPVL"
"358",0,2.68541497363355,0.573,0.003,0,"17","CD1C"
"359",0,2.64442213334,0.287,0.003,0,"17","CCL22"
"360",4.30042504484355e-165,2.94998627978103,0.912,0.796,1.1187985796665e-160,"17","CST3"
"361",0,5.59387922238261,0.893,0.02,0,"18","GNLY"
"362",0,5.26337154047502,0.945,0.053,0,"18","NKG7"
"363",0,4.34387860535966,0.886,0.024,0,"18","GZMB"
"364",0,4.31050546691392,0.905,0.03,0,"18","PRF1"
"365",0,4.0902701911842,0.863,0.088,0,"18","CCL4"
"366",0,3.84635073040149,0.935,0.1,0,"18","CST7"
"367",0,3.7696246391408,0.914,0.075,0,"18","CCL5"
"368",0,3.73424981050469,0.79,0.017,0,"18","FCGR3A"
"369",0,3.64693791147775,0.842,0.02,0,"18","GZMH"
"370",0,3.36768270642682,0.865,0.06,0,"18","CTSW"
"371",0,3.27544369008797,0.789,0.013,0,"18","KLRD1"
"372",0,3.21805790892533,0.825,0.046,0,"18","GZMA"
"373",0,3.1211706215934,0.594,0.062,0,"18","CCL4L2"
"374",0,3.04118995112635,0.733,0.068,0,"18","FGFBP2"
"375",0,2.85242735692835,0.764,0.042,0,"18","CD247"
"376",0,2.73263905173795,0.8,0.118,0,"18","ITGB2"
"377",0,2.69252852326959,0.848,0.126,0,"18","HCST"
"378",0,2.43047035130904,0.922,0.16,0,"18","PTPRC"
"379",0,2.42535139138337,0.806,0.115,0,"18","RAC2"
"380",0,2.39492630473431,0.848,0.137,0,"18","CORO1A"
"381",0,6.09911825125003,0.436,0.034,0,"19","CCL21"
"382",0,4.71427034341004,0.524,0.033,0,"19","TFF3"
"383",0,3.78682588288431,0.618,0.071,0,"19","MMRN1"
"384",0,2.30090974380754,0.316,0.022,0,"19","LYVE1"
"385",0,2.23785789401682,0.429,0.002,0,"19","PKHD1L1"
"386",0,2.01581420859523,0.259,0.002,0,"19","NTS"
"387",0,1.91330303224213,0.419,0.018,0,"19","PROX1"
"388",2.84894232083434e-265,2.44708632284605,0.712,0.163,7.41180834188261e-261,"19","ECSCR"
"389",3.73353149783573e-185,1.99917890365043,0.6,0.141,9.71315554476944e-181,"19","CLDN5"
"390",4.7358225895073e-165,2.04101004726497,0.592,0.17,1.23207160488622e-160,"19","LMO2"
"391",1.91947337384278e-158,1.85400694279443,0.701,0.23,4.99370192938937e-154,"19","EGFL7"
"392",4.91848353211079e-150,1.97266839811533,0.769,0.311,1.27959267571394e-145,"19","RAMP2"
"393",4.32225630286975e-139,2.30422333370991,0.545,0.166,1.12447819975459e-134,"19","CAVIN2"
"394",4.08740996027982e-138,2.06701257415769,0.814,0.441,1.0633805752664e-133,"19","GNG11"
"395",1.36642655995414e-111,1.58704399514222,0.583,0.188,3.55489533837668e-107,"19","GIMAP7"
"396",1.12499614298399e-106,2.73351526676808,0.656,0.35,2.92678996558715e-102,"19","TFPI"
"397",4.61136873198304e-97,1.61832475761713,0.481,0.165,1.19969368931271e-92,"19","SMAD1"
